Participa;Depto;SL;Horas;Monto1;Monto2;Tiempo;Proyectos
No;B;1;42,26;9809,7;9409,81;31,39;8
No;B;3;36,7;10063,83;9697,35;29,76;8
No;B;1;38,59;10122,3;9460,98;28,93;12
No;B;3;40,05;10272,71;9384,12;31,56;13
No;B;1;35,13;9833,32;9977,92;29,33;12
No;B;2;38;9770,02;9708,84;32,32;13
No;B;2;42,47;9666,91;9536,8;26,76;8
No;B;3;36,38;10241,74;9938,47;34,27;13
No;B;2;39,88;9379,48;9653,78;39,36;8
No;B;1;31,28;9852,66;9625,03;35,34;13
No;B;2;31,81;10080,78;9499,67;27,51;10
No;B;2;31,75;10524,71;9617,91;24,45;8
No;B;2;33,04;10024,8;9065,24;24,63;12
